dtime,observer_intensity
20050101,173
20050102,139
20050103,115
20050104,90
20050105,118
20050106,87
20050107,73
20050108,91
20050109,169
20050110,83
20050111,83
20050112,90
20050113,65
20050114,112
20050115,207
20050116,205
20050117,71
20050118,61
20050119,88
20050120,41
20050121,60
20050122,167
20050123,168
20050124,90
20050125,71
20050126,79
20050127,61
20050128,62
20050129,155
20050130,142
20050131,62
20050201,87
20050202,86
20050203,101
20050204,103
20050205,172
20050206,180
20050207,110
20050208,133
20050209,86
20050210,46
20050211,121
20050212,78
20050213,104
20050214,70
20050215,81
20050216,110
20050217,99
20050218,76
20050219,118
20050220,149
20050221,91
20050222,71
20050223,78
20050224,94
20050225,115
20050226,146
20050227,142
20050228,122
20050301,80
20050302,95
20050303,161
20050304,158
20050305,229
20050306,242
20050307,104
20050308,94
20050309,118
20050310,128
20050311,94
20050312,160
20050313,216
20050314,141
20050315,136
20050316,157
20050317,109
20050318,142
20050319,232
20050320,294
20050321,198
20050322,170
20050323,191
20050324,142
20050325,216
20050326,236
20050327,228
20050328,228
20050329,156
20050330,152
20050331,176
20050401,226
20050402,283
20050403,280
20050404,172
20050405,152
20050406,117
20050407,80
20050408,129
20050409,162
20050410,221
20050411,206
20050412,176
20050413,98
20050414,145
20050415,174
20050416,189
20050417,280
20050418,169
20050419,130
20050420,163
20050421,211
20050422,216
20050423,300
20050424,296
20050425,200
20050426,164
20050427,177
20050428,200
20050429,178
20050430,249
20050501,317
20050502,205
20050503,152
20050504,152
20050505,231
20050506,168
20050507,146
20050508,171
20050509,114
20050510,131
20050511,156
20050512,175
20050513,208
20050514,242
20050515,273
20050516,228
20050517,132
20050518,166
20050519,159
20050520,137
20050521,232
20050522,247
20050523,141
20050524,111
20050525,168
20050526,148
20050527,176
20050528,203
20050529,202
20050530,99
20050531,98
20050601,145
20050602,121
20050603,121
20050604,123
20050605,153
20050606,102
20050607,108
20050608,139
20050609,155
20050610,114
20050611,135
20050612,139
20050613,105
20050614,158
20050615,128
20050616,107
20050617,120
20050618,186
20050619,168
20050620,135
20050621,128
20050622,138
20050623,133
20050624,123
20050625,123
20050626,158
20050627,129
20050628,122
20050629,105
20050630,81
20050701,119
20050702,138
20050703,170
20050704,83
20050705,105
20050706,76
20050707,105
20050708,96
20050709,145
20050710,143
20050711,106
20050712,129
20050713,122
20050714,133
20050715,108
20050716,128
20050717,167
20050718,108
20050719,88
20050720,75
20050721,72
20050722,97
20050723,154
20050724,148
20050725,80
20050726,122
20050727,108
20050728,113
20050729,100
20050730,120
20050731,60
20050801,130
20050802,130
20050803,105
20050804,110
20050805,79
20050806,129
20050807,123
20050808,97
20050809,111
20050810,125
20050811,133
20050812,93
20050813,182
20050814,115
20050815,109
20050816,149
20050817,159
20050818,158
20050819,122
20050820,154
20050821,186
20050822,140
20050823,110
20050824,125
20050825,83
20050826,107
20050827,172
20050828,204
20050829,146
20050830,136
20050831,152
20050901,129
20050902,157
20050903,183
20050904,226
20050905,159
20050906,135
20050907,139
20050908,127
20050909,133
20050910,182
20050911,198
20050912,122
20050913,124
20050914,96
20050915,92
20050916,109
20050917,188
20050918,218
20050919,128
20050920,123
20050921,137
20050922,138
20050923,148
20050924,186
20050925,188
20050926,113
20050927,89
20050928,101
20050929,90
20050930,112
20051001,202
20051002,216
20051003,147
20051004,145
20051005,178
20051006,130
20051007,157
20051008,210
20051009,230
20051010,138
20051011,142
20051012,140
20051013,147
20051014,144
20051015,229
20051016,220
20051017,145
20051018,152
20051019,135
20051020,104
20051021,111
20051022,155
20051023,207
20051024,77
20051025,73
20051026,138
20051027,148
20051028,172
20051029,231
20051030,247
20051031,136
20051101,135
20051102,71
20051103,98
20051104,100
20051105,222
20051106,203
20051107,93
20051108,124
20051109,131
20051110,92
20051111,103
20051112,180
20051113,239
20051114,150
20051115,70
20051116,96
20051117,100
20051118,150
20051119,215
20051120,215
20051121,110
20051122,109
20051123,110
20051124,83
20051125,60
20051126,128
20051127,190
20051128,108
20051129,100
20051130,122
20051201,109
20051202,119
20051203,170
20051204,177
20051205,121
20051206,118
20051207,113
20051208,127
20051209,128
20051210,173
20051211,196
20051212,99
20051213,99
20051214,94
20051215,91
20051216,90
20051217,166
20051218,239
20051219,116
20051220,87
20051221,120
20051222,104
20051223,121
20051224,204
20051225,190
