block,longit,latit,geom,birds,nat_cover,built_cover,observer_intensity,ave_precip,roadlength,p_roadlength,g_roadlength,surr_pop,abs_pop,ave_temper
263,20.0,394.0,0103000020407100000100000005000000000000000088D34000000000400C1841000000000088D34000000000E01B1841000000000082D44000000000E01B1841000000000082D44000000000400C1841000000000088D34000000000400C1841,206,27161.7402984718,102270.628859307,692.0,1.40031693694671,4618.16991550256,888.264930364408,1747.64355909048,20220.0,215.0,13.2536091877775
342,22.0,392.0,010300002040710000010000000500000000000000007CD5400000000000ED174100000000007CD54000000000A0FC1741000000000076D64000000000A0FC1741000000000076D6400000000000ED174100000000007CD5400000000000ED1741,155,27157.0480800098,93874.2099333726,210.0,1.41760030850634,9352.58499077511,303.279631319094,6919.44999959938,48245.0,350.0,13.2126589504724
471,25.0,399.0,010300002040710000010000000500000000000000006AD84000000000605A184100000000006AD84000000000006A1841000000000064D94000000000006A1841000000000064D94000000000605A184100000000006AD84000000000605A1841,112,597010.68535229,33654.0569802936,257.0,1.55824006667865,3912.93379153701,386.662170424468,839.330723255416,26085.0,185.0,13.2991423098093
535,27.0,380.0,010300002040710000010000000500000000000000005EDA40000000008031174100000000005EDA400000000020411741000000000058DB400000000020411741000000000058DB40000000008031174100000000005EDA400000000080311741,72,323290.14057027,407059.589536272,222.0,1.47092990560756,11636.7888254224,168.10784121717,11468.6809842053,47325.0,1460.0,13.2124137447849
577,28.0,379.0,0103000020407100000100000005000000000000000058DB4000000000E0211741000000000058DB400000000080311741000000000052DC400000000080311741000000000052DC4000000000E0211741000000000058DB4000000000E0211741,30,501.018780820955,94882.073010257,55.0,1.50103104122765,8961.03694615859,257.993760317515,4985.36714745896,31580.0,490.0,13.2385188363369
597,28.0,399.0,0103000020407100000100000005000000000000000058DB4000000000605A1841000000000058DB4000000000006A1841000000000052DC4000000000006A1841000000000052DC4000000000605A1841000000000058DB4000000000605A1841,56,7428.72897401225,39257.3765774849,94.0,1.63480049100041,3187.67353156199,529.978263950835,1168.06581530819,26350.0,130.0,13.2996080081437
621,29.0,379.0,0103000020407100000100000005000000000000000052DC4000000000E0211741000000000052DC40000000008031174100000000004CDD40000000008031174100000000004CDD4000000000E0211741000000000052DC4000000000E0211741,62,720685.432929449,25304.1419339206,133.0,1.51409680727684,1847.10248890659,303.628780601003,277.161161235917,32485.0,50.0,13.2480018557106
866,34.0,386.0,010300002040710000010000000500000000000000009AE04000000000408F174100000000009AE04000000000E09E1741000000000017E14000000000E09E1741000000000017E14000000000408F174100000000009AE04000000000408F1741,170,578213.190654749,98122.2425317125,252.0,1.52625368832924,5739.8741520994,847.356834208402,1922.32450462821,102480.0,0.0,13.2145651607718
1293,41.0,413.0,0103000020407100000100000005000000000000000005E4400000000020351941000000000005E44000000000C0441941000000000082E44000000000C0441941000000000082E4400000000020351941000000000005E4400000000020351941,142,129191.210016635,331220.667340084,284.0,1.5711531342105,12216.6192000924,579.599782706156,9618.16356121555,7765.0,1180.0,13.5696090502222
1449,44.0,373.0,010300002040710000010000000500000000000000007CE5400000000020C4164100000000007CE54000000000C0D316410000000000F9E54000000000C0D316410000000000F9E5400000000020C4164100000000007CE5400000000020C41641,65,54442.1060158611,14390.1765368403,80.0,1.62261217604108,6778.0055854311,2008.72056987883,1583.67453603427,34365.0,0.0,13.8799121885339
