dtime,doy,dow,natholiday,observer_intensity,ave_precip,ave_temper
20170101,1.0,0.0,True,1246,2.9913225357405,3.11766821402126
20170102,2.0,1.0,False,1440,1.21195661883983,5.9239460883618
20170103,3.0,2.0,False,1194,1.97317753995584,6.73953802661982
20170104,4.0,3.0,False,1011,2.08718974735112,7.39522647688298
20170105,5.0,4.0,False,1526,0.0068002114269606,3.6142350164433
20170106,6.0,5.0,False,1466,2.59214143430209,-0.397662555231144
20170107,7.0,6.0,False,1033,0.941068764822852,3.49995002490509
20170108,8.0,0.0,False,1540,0.162056715940521,5.78987741922352
20170109,9.0,1.0,False,825,6.87878707748142,5.89509453148706
20170110,10.0,2.0,False,1035,0.768768570235152,6.69158647240595
20170111,11.0,3.0,False,775,1.66373902735756,9.3704839344985
20170112,12.0,4.0,False,831,22.6909482103849,6.92725196086956
20170113,13.0,5.0,False,911,5.93757510746526,5.45555873651507
20170114,14.0,6.0,False,1371,4.24391209628743,4.6998563429404
20170115,15.0,0.0,False,1698,0.520860221001532,3.73936142418732
20170116,16.0,1.0,False,1131,0.0131408532101887,1.35203746033788
20170117,17.0,2.0,False,1114,0.0048386519443717,-1.09275986003153
20170118,18.0,3.0,False,1142,0.000436006551858,-1.23227564277758
20170119,19.0,4.0,False,1197,0.001318728933628,3.05419609602861
20170120,20.0,5.0,False,1293,0.0344166777274544,3.69704143075037
20170121,21.0,6.0,False,1702,0.0028796080326801,4.05134228525378
20170122,22.0,0.0,False,1925,0.0070869129525987,3.10656240331095
20170123,23.0,1.0,False,958,0.66494714959212,2.53433446813791
20170124,24.0,2.0,False,787,0.0561464032123898,2.40145081442644
20170125,25.0,3.0,False,1035,0.0004645270734384,0.511064889058599
20170126,26.0,4.0,False,1194,0.0006135786963963,0.687820309007394
20170127,27.0,5.0,False,1271,0.0003221156471616,5.42299571030034
20170128,28.0,6.0,False,1644,1.3673451632285,8.53377054266476
20170129,29.0,0.0,False,1416,7.94550079814077,6.37522890099433
20170130,30.0,1.0,False,709,1.12769157526875,6.16734672836578
20170131,31.0,2.0,False,944,0.0041133882478805,4.33246536630682
20170201,32.0,3.0,False,911,1.37989163470496,5.60610202015536
20170202,33.0,4.0,False,1138,0.777360574597865,11.8738081846042
20170203,34.0,5.0,False,1199,0.772396945541592,10.9168813598193
20170204,35.0,6.0,False,1481,7.28933964342609,7.60433914200759
20170205,36.0,0.0,False,1699,0.0421484981791835,6.99490216164543
20170206,37.0,1.0,False,1052,0.0756698105857832,6.07557613109424
20170207,38.0,2.0,False,635,2.37609050880006,3.43414219569893
20170208,39.0,3.0,False,742,0.238169896971511,0.974993729584695
20170209,40.0,4.0,False,781,0.0063890328017548,-0.62167357529858
20170210,41.0,5.0,False,910,0.527753644040027,-1.04482837732925
20170211,42.0,6.0,False,1236,2.93357405104941,0.916187019265124
20170212,43.0,0.0,False,1555,0.0104293899511269,3.01912316443843
20170213,44.0,1.0,False,1165,0.0009119046218269,6.19559307071114
20170214,45.0,2.0,False,1319,0.0008776656892866,8.36501532230913
20170215,46.0,3.0,False,1461,0.17081505658978,13.2873387411407
20170216,47.0,4.0,False,1044,1.10079352346918,9.19169132523143
20170217,48.0,5.0,False,1082,0.34918921499685,7.9779053196288
20170218,49.0,6.0,False,1713,0.395144810332616,8.58408135906105
20170219,50.0,0.0,False,1461,0.937667724585442,8.41380328775967
20170220,51.0,1.0,False,924,3.51720765267714,10.5078812424601
20170221,52.0,2.0,False,1322,5.12381368045208,10.451035705388
20170222,53.0,3.0,False,640,18.5291257299102,10.1544795499659
20170223,54.0,4.0,False,601,8.13218085584355,10.2751263072466
20170224,55.0,5.0,False,1434,0.373717361418714,7.7558217913742
20170225,56.0,6.0,False,1350,3.99995494770159,8.03942629878398
20170226,57.0,0.0,False,1397,0.438463311525536,10.1778242202621
20170227,58.0,1.0,False,926,11.2528342568275,10.6991952010609
20170228,59.0,2.0,False,1120,5.40557031250874,6.92092091283238
20170301,60.0,3.0,False,1343,7.10284867452282,8.88641832137533
20170302,61.0,4.0,False,870,1.64597661128336,7.9862121116533
20170303,62.0,5.0,False,1449,1.14429412082829,9.28417954820025
20170304,63.0,6.0,False,1822,7.51386157494345,12.9259291425893
20170305,64.0,0.0,False,1647,4.17607364719723,10.6419437268862
20170306,65.0,1.0,False,1186,1.1031957491873,8.76587024326625
20170307,66.0,2.0,False,1158,2.9700619102945,8.0309700930468
20170308,67.0,3.0,False,656,8.72516840248811,9.33994026821082
20170309,68.0,4.0,False,1100,0.471489918722125,11.4874847785687
20170310,69.0,5.0,False,1679,0.0011053661459879,10.9622695702321
20170311,70.0,6.0,False,1990,0.0002638433829159,12.3007445639921
20170312,71.0,0.0,False,2288,0.0002656871187973,14.0955647564183
20170313,72.0,1.0,False,1554,0.0,12.0307670136584
20170314,73.0,2.0,False,1330,0.0,13.624176347344
20170315,74.0,3.0,False,1509,0.0001810366168338,12.8981583367597
20170316,75.0,4.0,False,1565,0.0015770873122559,15.980979115727
20170317,76.0,5.0,False,1192,10.2173739777504,9.93028284979501
20170318,77.0,6.0,False,1111,5.86381738985906,11.0956659977332
20170319,78.0,0.0,False,1336,2.85217055463324,12.1920293859938
20170320,79.0,1.0,False,741,5.08140599122634,11.1979600891767
20170321,80.0,2.0,False,1216,0.197818315855439,9.68808947157854
